Date,RR,Rain7,RH_avg,Tavg,FRI_v2,FRI_v3_Final,Risk_Class_v3_Final,Confidence_v3_Final
2024-09-21,0.1,2.9000000000000004,72.0,28.7,15.339337582802145,22.86874265716785,Low,1.0
2024-09-22,0.0,1.3,71.0,29.5,14.614891888513936,23.613360829896266,Low,1.0
2024-09-23,0.0,0.9,82.0,28.2,24.708661417322837,31.99606299212598,Low,1.0
2024-09-24,1.4,2.3,79.0,26.7,16.676579177602797,19.468827646544177,Low,1.0
2024-09-25,0.0,2.3,76.0,28.5,16.691976002999624,24.065335583052118,Low,1.0
2024-09-26,1.5,3.0,89.0,24.7,28.33720472440944,28.92854330708661,Low,1.0
2024-09-27,0.8,3.8,79.0,27.9,21.12462598425196,26.949488188976375,Low,1.0
2024-09-28,0.0,3.7,86.0,26.8,28.746719160104984,31.206036745406827,Low,1.0
2024-09-29,4.1,7.799999999999999,78.0,28.6,25.21228783902012,32.24532370953631,Low,1.0
2024-09-30,,7.799999999999999,77.0,28.3,23.64513463594828,31.855282795532908,Low,0.85
2024-10-01,0.0,6.399999999999999,82.0,26.8,24.872703412073484,26.69422572178478,Low,1.0
2024-10-02,,6.399999999999999,78.0,28.7,25.120905025760656,34.460526992949404,Medium,0.85
2024-10-03,2.0,6.899999999999999,85.0,26.9,30.844181977252838,33.225371828521425,Medium,1.0
2024-10-04,2.5,8.599999999999998,87.0,26.7,33.95220909886263,35.47626859142606,Medium,1.0
2024-10-05,,8.599999999999998,85.0,26.8,34.561096529600455,38.125675467037205,Medium,0.85
2024-10-06,24.2,28.7,82.0,27.3,43.27632950805088,44.91831954452451,Medium,1.0
2024-10-07,0.0,28.7,75.0,28.5,31.97934538106675,34.60577986198482,Medium,1.0
2024-10-08,0.0,28.7,91.0,26.8,46.59244061916199,44.63554176674673,Medium,1.0
2024-10-09,13.3,42.0,79.0,28.4,45.09281113779912,47.53641224090383,Medium,1.0
2024-10-10,0.0,40.0,85.0,26.9,46.76883729205585,43.732630548883535,Medium,1.0
2024-10-11,11.7,49.2,84.0,27.7,54.00650900900901,53.687972972972965,Medium,1.0
2024-10-12,20.3,69.5,85.0,27.1,61.40387387387386,57.923378378378395,Medium,1.0
2024-10-13,0.7,46.0,87.0,26.7,51.02020327373008,46.84786451383329,Medium,1.0
2024-10-14,43.0,89.0,82.0,28.1,67.66763229388141,66.70109260571701,High,1.0
2024-10-15,1.0,90.0,82.0,26.9,58.25030317347822,50.7396566658792,Medium,1.0
