Date,RR,Rain7,RH_avg,Tavg,FRI_v2,FRI_v3,Risk_Class_v3,Confidence_v3
2024-08-29,,9.2,76.0,28.7,24.89202738546569,39.88230637836936,Medium,0.75
2024-08-30,0.0,9.2,73.0,28.5,20.51790401199849,27.877999625046865,Low,1.0
2024-08-31,0.0,0.3,73.0,28.8,13.926696662917138,25.415729283839525,Low,1.0
2024-09-01,,0.0,75.0,28.9,16.55643738977072,35.38359788359788,Medium,0.75
2024-09-02,15.5,15.5,80.0,29.2,37.618613298337685,47.76208442694662,Medium,1.0
2024-09-03,13.0,28.5,80.0,27.1,37.912376567921,37.797854950627176,Medium,1.0
2024-09-04,0.5,29.0,88.0,25.8,43.62087002935681,33.9604350146784,Medium,1.0
2024-09-05,,29.0,78.0,28.9,39.55713953879152,50.493542982534166,Medium,0.75
2024-09-06,0.1,29.1,80.0,28.2,38.45923538831064,38.68461769415532,Medium,1.0
2024-09-07,,29.1,73.0,29.9,36.68054372951623,50.68557491495841,Medium,0.75
2024-09-08,8.3,37.4,76.0,28.7,38.715623673542,42.94812929708846,Medium,1.0
2024-09-09,0.0,21.9,85.0,26.8,39.24526287696823,33.289298105150785,Medium,1.0
2024-09-10,4.8,13.7,82.0,27.1,33.37406824146981,34.360367454068246,Medium,1.0
2024-09-11,0.1,13.3,88.0,26.6,37.04021872265966,32.07233158355206,Low,1.0
2024-09-12,8.2,21.5,87.0,26.1,42.47013477448625,38.13006738724312,Medium,1.0
2024-09-13,0.0,21.4,74.0,28.2,28.10462655838956,31.016598993480493,Low,1.0
2024-09-14,,21.4,81.0,27.2,37.951348733307626,41.2893277585031,Medium,0.75
2024-09-15,1.6,14.7,81.0,27.6,32.83980314960629,33.949901574803164,Medium,1.0
2024-09-16,0.4,15.1,77.0,27.5,24.86226377952754,25.876131889763784,Low,1.0
2024-09-17,0.0,10.3,84.0,26.7,30.66579177602798,27.9440069991251,Low,1.0
2024-09-18,,10.2,76.0,28.0,24.300868641419807,36.00909261342332,Medium,0.75
2024-09-19,0.8,2.8000000000000003,74.0,28.4,16.195359330083733,26.257520934883136,Low,1.0
2024-09-20,,2.8000000000000003,75.0,28.8,18.851810190392865,36.3904511936008,Medium,0.75
2024-09-21,0.1,2.9000000000000004,72.0,28.7,15.339337582802145,25.745700537432818,Low,1.0
2024-09-22,0.0,1.3,71.0,29.5,14.614891888513936,27.34712848393951,Low,1.0
2024-09-23,0.0,0.9,82.0,28.2,24.708661417322837,32.85433070866142,Low,1.0
2024-09-24,1.4,2.3,79.0,26.7,16.676579177602797,19.319400699912507,Low,1.0
2024-09-25,0.0,2.3,76.0,28.5,16.691976002999624,26.500749906261717,Low,1.0
2024-09-26,1.5,3.0,89.0,24.7,28.33720472440944,25.493602362204726,Low,1.0
