Date,RR,Rain7,RH_avg,Tavg,FRI_v2
2025-03-22,7.6,35.80000000000001,94.0,25.1,51.65638110488389
2025-03-23,64.9,100.70000000000002,90.0,26.0,73.05046491849752
2025-03-24,1.5,79.30000000000001,86.0,27.3,63.18258258258258
2025-03-25,15.0,93.90000000000002,82.0,28.3,65.4417473816836
2025-03-26,8.0,101.90000000000002,80.0,29.3,62.99478108512482
2025-03-27,0.8,97.20000000000002,87.0,27.4,73.65491377273801
2025-03-28,1.7,98.70000000000002,81.0,27.3,58.655234270415
2025-03-29,9.2,100.3,72.0,28.9,54.2011584714207
2025-03-30,0.0,35.40000000000001,80.0,28.3,41.08014189129081
2025-03-31,19.2,53.10000000000001,79.0,27.4,47.073835263835264
2025-04-01,0.1,38.20000000000001,74.0,28.7,35.5644513070774
2025-04-02,62.0,92.20000000000002,88.0,26.1,71.26579021970234
2025-04-03,0.8,92.20000000000002,79.0,27.7,61.17402617003963
2025-04-04,8.0,98.5,78.0,27.5,55.32870009449564
2025-04-05,44.2,133.50000000000003,90.0,25.3,73.22829199149538
2025-04-06,0.5,134.00000000000003,88.0,26.3,66.62115520907157
2025-04-07,18.7,133.50000000000003,90.0,25.6,70.88495865816206
2025-04-08,29.1,162.50000000000003,87.0,26.8,73.38935861091426
2025-04-09,0.5,101.00000000000004,92.0,26.3,67.17218284904322
2025-04-10,4.0,105.00000000000004,80.0,27.8,59.60008858965274
2025-04-11,2.0,99.00000000000004,87.0,26.6,64.97350775651627
2025-04-12,2.2,57.000000000000014,80.0,27.9,48.75282818532818
2025-04-13,0.0,56.500000000000014,81.0,27.3,47.74667524667524
2025-04-14,0.0,37.80000000000001,76.0,28.8,36.57464066491288
2025-04-15,29.5,38.20000000000002,80.0,27.8,45.76214971977583
2025-04-16,3.1,40.80000000000001,81.0,27.5,44.030482385908726
2025-04-17,11.3,48.100000000000016,76.0,28.4,42.90381381381381
2025-04-18,0.0,46.100000000000016,70.0,28.8,36.683013077128365
2025-04-19,0.0,43.90000000000001,84.0,27.0,47.107864069033006
2025-04-20,0.1,44.000000000000014,76.0,28.5,38.67995958671699
2025-04-21,0.0,44.000000000000014,81.0,27.8,45.00900720576461
2025-04-22,0.0,14.500000000000014,80.0,28.4,32.32010061242344
2025-04-23,82.7,94.10000000000002,87.0,26.3,71.74767044649185
2025-04-24,0.0,82.80000000000003,75.0,28.2,50.41505791505792
2025-04-25,20.5,103.30000000000004,83.0,27.9,67.13718698322702
2025-04-26,17.5,120.80000000000004,86.0,26.2,67.97489959839358
2025-04-27,2.0,122.70000000000002,82.0,28.2,64.47044649184976
2025-04-28,0.0,122.70000000000002,87.0,27.3,67.51766871407197
2025-04-29,45.0,167.70000000000002,82.0,27.3,70.05035829592882
2025-04-30,0.8,85.00000000000001,87.0,26.4,69.70667095667095
2025-05-01,3.5,88.50000000000001,85.0,27.9,66.61310240963854
2025-05-02,16.8,84.80000000000001,84.0,27.5,65.51582046332047
2025-05-03,7.6,74.90000000000002,78.0,26.9,49.277436722436725
2025-05-04,2.1,75.00000000000001,87.0,26.7,60.997389532389526
2025-05-05,21.2,96.20000000000002,84.0,28.2,69.22536262697851
2025-05-06,0.0,51.20000000000002,80.0,29.0,48.05528743028743
2025-05-07,0.0,51.20000000000002,83.0,28.6,52.37473187473187
2025-05-08,0.8,47.70000000000002,85.0,27.8,58.27005577005577
2025-05-09,17.0,47.90000000000001,80.0,28.2,49.48240025740026
2025-05-10,0.0,40.30000000000001,78.0,29.1,40.40282225780624
2025-05-11,0.0,38.20000000000001,75.0,28.8,36.19905448168058
2025-05-12,0.0,17.000000000000014,78.0,28.6,30.38091584378614
2025-05-13,0.0,17.000000000000014,73.0,29.8,28.02972536759566
2025-05-14,7.0,24.00000000000001,84.0,26.7,40.57482430388755
2025-05-15,2.7,26.700000000000014,83.0,26.9,39.52457788452983
2025-05-16,12.4,22.100000000000016,81.0,27.7,38.916160261542565
2025-05-17,0.0,22.100000000000016,78.0,29.1,33.11699359487589
2025-05-18,0.0,22.100000000000016,92.0,26.2,43.49199359487589
2025-05-19,44.0,66.10000000000002,85.0,27.2,62.95770055770056
2025-05-20,1.0,67.10000000000002,83.0,28.0,56.710006435006434
2025-05-21,4.7,64.80000000000001,86.0,28.3,62.71386958386958
2025-05-22,0.0,62.100000000000016,78.0,28.3,46.84014371514371
2025-05-23,0.8,49.70000000000002,77.0,28.8,46.2998712998713
2025-05-24,0.0,49.70000000000002,74.0,29.4,40.89607464607464
2025-05-25,0.8,49.70000000000002,79.0,28.2,49.54061204061203
2025-05-26,0.0,5.700000000000014,71.0,29.2,17.662792150981133
2025-05-27,0.0,4.700000000000014,71.0,29.2,16.875390576177985
2025-05-28,28.6,28.600000000000016,80.0,27.6,41.20407526020817
2025-05-29,0.0,28.600000000000016,81.0,27.1,36.76074192687484
2025-05-30,0.0,28.600000000000016,84.0,28.8,45.42740859354149
2025-05-31,35.8,64.4,96.0,24.5,65.7296138996139
2025-06-01,69.8,134.20000000000002,77.0,28.1,62.82913382943539
